Data Element|Private Creator|VR|VM|Meaning
(7053,xx00)|Philips PET Private Group|DS|1|SUV Factor - Multiplying stored pixel values by Rescale Slope then this factor results in SUVbw in g/l
(7053,xx09)|Philips PET Private Group|DS|1|Activity Concentration Factor - Multiplying stored pixel values by Rescale Slope then this factor results in MBq/ml.
(00E1,xx21)|ELSCINT1|DS|1|DLP
(01E1,xx26)|ELSCINT1|CS|1|Phantom Type
(01E1,xx50)|ELSCINT1|DS|1|Acquisition Duration
(01F1,xx01)|ELSCINT1|CS|1|Acquisition Type
(01F1,xx07)|ELSCINT1|DS|1|Table Velocity
(01F1,xx26)|ELSCINT1|DS|1|Pitch
(01F1,xx27)|ELSCINT1|DS|1|Rotation Time
(0019,xx23)|GEMS_ACQU_01|DS|1|Table Speed [mm/rotation]
(0019,xx24)|GEMS_ACQU_01|DS|1|Mid Scan Time [sec]
(0019,xx27)|GEMS_ACQU_01|DS|1|Rotation Speed (Gantry Period)
(0019,xx9E)|GEMS_ACQU_01|LO|1|Internal Pulse Sequence Name
(0043,xx27)|GEMS_PARM_01|SH|1|"Scan Pitch Ratio in the form ""n.nnn:1"""
(0045,xx01)|GEMS_HELIOS_01|SS|1|Number of Macro Rows in Detector
(0045,xx02)|GEMS_HELIOS_01|FL|1|Macro width at ISO Center
(0903,xx10)|GEIIS PACS|US|1|Reject Image Flag
(0903,xx11)|GEIIS PACS|US|1|Significant Flag
(0903,xx12)|GEIIS PACS|US|1|Confidential Flag
(2001,xx03)|Philips Imaging DD 001|FL|1|Diffusion B-Factor
(2001,xx04)|Philips Imaging DD 001|CS|1|Diffusion Direction
(0019,xx0C)|SIEMENS MR HEADER|IS|1|B Value
(0019,xx0D)|SIEMENS MR HEADER|CS|1|Diffusion Directionality
(0019,xx0E)|SIEMENS MR HEADER|FD|3|Diffusion Gradient Direction
(0019,xx27)|SIEMENS MR HEADER|FD|6|B Matrix
(0043,xx39)|GEMS_PARM_01|IS|4|1stvalue is B Value
(0043,xx6F)|GEMS_PARM_01|DS|3-4|Scanner Table Entry + Gradient Coil Selected
(0025,xx07)|GEMS_SERS_01|SL|1|Images in Series
(7E01,xx01)|HOLOGIC, Inc.|LO|1|Codec Version
(7E01,xx02)|HOLOGIC, Inc.|SH|1|Codec Content Type
(7E01,xx10)|HOLOGIC, Inc.|SQ|1|High Resolution Data Sequence
(7E01,xx11)|HOLOGIC, Inc.|SQ|1|Low Resolution Data Sequence
(7E01,xx12)|HOLOGIC, Inc.|OB|1|Codec Content
(0099,xx01)|NQHeader|UI|1|Version
