DeId
String,int,bool,bool,Action,Action,Action,Action,Action,Action,Action,Action,Action,Action
keyword,tag,isRetired,StdCompositeIOD,BasicProfile,RetainSafePrivate,RetainUids,RetainDeviceIdentity,RetainPatientCharacteristics,RetainLongFullDates,RetainLongModifiedDates,CleanDescriptors,CleanStructucturedContent,CleanGraphics
AccessionNumber,0x00080050,N,Y,Z,,,,,,,,,
AcquisitionComments,0x00184000,Y,N,X,,,,,,,C,,
AcquisitionContextSequence,0x00400555,N,Y,X,,,,,,,,C,
AcquisitionDate,0x00080022,N,Y,X/Z,,,,,K,C,,,
AcquisitionDateTime,0x0008002A,N,Y,X/D,,,,,K,C,,,
AcquisitionDeviceProcessingDescription,0x00181400,N,Y,X/D,,,,,,,C,,
AcquisitionProtocolDescription,0x00189424,N,Y,X,,,,,,,C,,
AcquisitionTime,0x00080032,N,Y,X/Z,,,,,K,C,,,
ActualHumanPerformersSequence,0x00404035,N,N,X,,,,,,,,,
AdditionalPatient'sHistory,0x001021B0,N,Y,X,,,,,,,C,,
AdmissionID,0x00380010,N,Y,X,,,,,,,,,
AdmittingDate,0x00380020,N,N,X,,,,,K,C,,,
AdmittingDiagnosesCodeSequence,0x00081084,N,Y,X,,,,,,,C,,
AdmittingDiagnosesDescription,0x00081080,N,Y,X,,,,,,,C,,
AdmittingTime,0x00380021,N,N,X,,,,,K,C,,,
AffectedSOPInstanceUID,0x00001000,N,N,X,,K,,,,,,,
Allergies,0x00102110,N,N,X,,,,C,,,C,,
Arbitrary,0x40000010,Y,N,X,,,,,,,,,
AuthorObserverSequence,0x0040A078,N,Y,X,,,,,,,,,
BranchofService,0x00101081,N,N,X,,,,,,,,,
CassetteID,0x00181007,N,Y,X,,,K,,,,,,
CommentsonthePerformedProcedureStep,0x00400280,N,Y,X,,,,,,,C,,
ConcatenationUID,0x00209161,N,Y,U,,K,,,,,,,
ConfidentialityConstraintonPatientDataDescription,0x00403001,N,N,X,,,,,,,,,
ContentCreator'sName,0x00700084,N,Y,Z,,,,,,,,,
ContentCreator'sIdentificationCodeSequence,0x00700086,N,Y,X,,,,,,,,,
ContentDate,0x00080023,N,Y,Z/D,,,,,K,C,,,
ContentSequence,0x0040A730,N,Y,X,,,,,,,,C,
